,Parameter name,Order,Dependency,Relation,Explanation,Comments,Favorite,Value,Expression,Previous parameter name
,left_rabbeting_top,116,Derived,Model,Distance from the bottom edge of the stile's compact laminate to the top of rabbeting on the left side of the stile. If the distance between the top of door and the top of the stile's compact laminate is small then the rabbeting starts at the beginning of the stile with no radius cut in.,"116) Derived - Model
    Distance from the bottom edge of the stile's compact laminate to the top of rabbeting on the left side of the stile. If the distance between the top of door and the top of the stile's compact laminate is small then the rabbeting starts at the beginning of the stile with no radius cut in.",No,106.6875,"=IF(
  LD_ceiling_clearance < through_rabbeting_threshold,
  component_net_height + 2,
  LD_floor_clearance + LD_height - (leveling_bar_additional_height + leveling_gap) + rabbeting_start_above_door
)",
,left_rabbeting_bottom,117,Derived,Model,"Distance from the bottom edge of the stile's compact laminate to the bottm of rabbeting on the left side of the stile.If the door_floor_clearanceis small, then the rabbeting goes all the way to the end of the stile with no radius cut in.","117) Derived - Model
    Distance from the bottom edge of the stile's compact laminate to the bottm of rabbeting on the left side of the stile.If the door_floor_clearanceis small, then the rabbeting goes all the way to the end of the stile with no radius cut in.",No,3.739,"=IF(
      LD_floor_clearance < through_rabbeting_threshold,
      -2,
      component_net_height - (LD_stile_hole_modifier + LD_height + rabbeting_stop_below_door)
   )",
,left_rabbeting_length,118,Derived,Model,Length of rabbeting from start to finish; may be longer than the stile in the case of through-rabbeting,"118) Derived - Model
    Length of rabbeting from start to finish; may be longer than the stile in the case of through-rabbeting",,102.9485,= left_rabbeting_top - left_rabbeting_bottom,
,left_interior_drilling,119,Derived,Model,Whether drilling is present the interior left edge of the stile,"119) Derived - Model
    Whether drilling is present the interior left edge of the stile",No,1,"=IF(AND(left_side_door=1,LD_hinging_right=1,LD_swinging_out=0),1,0)",
,left_exterior_drilling,120,Derived,Model,Whether drilling is present the exterior left edge of the stile,"120) Derived - Model
    Whether drilling is present the exterior left edge of the stile",No,0,"=IF(AND(left_side_door=1,LD_hinging_right=1,LD_swinging_out=1),1,0)",
,,,,,,,,,,
Door drill hole coordinates - LEFT side,,,,,,,,,,
,LD_top_hinge_hole_1_y_value,121,Derived,Helper,Distance between top of the left door and the center of the door hinge hole,"121) Derived - Helper
    Distance between top of the left door and the center of the door hinge hole",No,3.158,= LD_top_margin,
,LD_top_hinge_hole_2_y_value,122,Derived,Helper,Distance between top of the left door and the center of the door hinge hole,"122) Derived - Helper
    Distance between top of the left door and the center of the door hinge hole",No,4.658,=LD_top_hinge_hole_1_y_value+hinge_hole_space,
,LD_mid_top_hinge_hole_1_y_value,123,Derived,Helper,Distance between top of the left door and the center of the door hinge hole,"123) Derived - Helper
    Distance between top of the left door and the center of the door hinge hole",No,33.532,=LD_top_hinge_hole_1_y_value+LD_inter_hinge_gap+LD_mid_top_hinge_offset,
,LD_mid_top_hinge_hole_2_y_value,124,Derived,Helper,Distance between top of the left door and the center of the door hinge hole,"124) Derived - Helper
    Distance between top of the left door and the center of the door hinge hole",No,35.032,=LD_mid_top_hinge_hole_1_y_value+hinge_hole_space,
,LD_mid_bottom_hinge_hole_1_y_value,125,Derived,Helper,Distance between top of the left door and the center of the door hinge hole,"125) Derived - Helper
    Distance between top of the left door and the center of the door hinge hole",No,63.906,=LD_mid_top_hinge_hole_1_y_value+LD_inter_hinge_gap+LD_mid_bottom_hinge_offset,
,LD_mid_bottom_hinge_hole_2_y_value,126,Derived,Helper,Distance between top of the left door and the center of the door hinge hole,"126) Derived - Helper
    Distance between top of the left door and the center of the door hinge hole",No,65.406,=LD_mid_bottom_hinge_hole_1_y_value+hinge_hole_space,
