Type,Parameter Name,Value,Unit,Expression,Comment
Model,d210,5.0,in,5 in,
Model,d211,0.5,in,0.5 in,
Model,d149,0.75,in,component_thickness,
Model,d150,2.0,in,2 in,
Model,d151,2.0,in,2 in,
Model,d152,0.3,in,rabbeting_width,
Model,d153,0.5,in,rabbeting_depth,
Model,d177,24.375,in,component_width,
Model,d178,0.75,in,component_thickness,
Model,d179,0.25,in,0.25 in,
Model,d180,0.25,in,0.25 in,
Model,d181,0.25,in,0.25 in,
Model,d182,0.25,in,0.25 in,
Model,d223,0.65,in,component_thickness - 0.1 in,
Model,d224,0.0,deg,0.00 deg,
Model,d225,0.75,in,component_thickness,
Model,d226,0.0,deg,0.00 deg,
Model,d39,0.75,in,component_thickness,
Model,d40,0.0,deg,0.00 deg,
Model,d47,-0.125,in,left_rabbeting_model,
Model,d48,0.5,in,rabbeting_depth,
Model,d49,0.0,deg,0.00 deg,
Model,d51,0.5625,in,hinge_hole_depth,
Model,d52,0.0,deg,0.00 deg,
Model,d53,0.09375000000000001,in,if(left_exterior_drilling or right_exterior_drilling; -component_thickness / 2 + hinge_hole_depth / 2; component_thickness / 2 - hinge_hole_depth / 2),
Model,d57,0.0,deg,0 deg,
Model,d58,0.0,in,0.0000 in,
Model,d59,0.75,in,if(bottom_left_notching; component_thickness; -component_thickness),
Model,d70,0.0,in,0.0000 in,
Model,d71,0.75,in,if(bottom_right_notching; component_thickness; -component_thickness),
Model,d72,0.0,deg,0.00 deg,
Model,d114,0.5,in,rabbeting_depth,
Model,d115,0.0,deg,0.00 deg,
Model,d116,-0.125,in,right_rabbeting_model,
Model,d82,0.75,in,component_thickness,
Model,d83,0.25,in,0.25 in,
Model,d84,0.0,deg,0.00 deg,
Model,d200,0.0,in,if(top_left_notching; component_thickness; 0 in),
Model,d201,0.75,in,component_thickness,
Model,d202,0.0,deg,0.00 deg,
Model,d204,0.0,in,if(top_right_notching; component_thickness; 0 in),
Model,d205,0.75,in,component_thickness,
